UTC,FMS_ALT_PRES,FMS_TAS,FMS_SAT,FMS_LAT,FMS_LON,FMS_GRD_SPD,FMS_HDG,FMS_TRK,FMS_WNS,FMS_WND,IRS_PITCH,IRS_ROLL,IRS_VERT_ACC,ADC_IAS,GPS_ALT,A_DewPoint,A_CabinPressure,A_SurfTemp,A_TotalTemp,A_JNO2_Nadir,A_JNO2_Zenith,A_RadarAlt,C_StaticPressure,C_DiffPressure,C_StatTempDegC,C_PotTempDegK,C_MachNumber,C_CabAltitude,C_VaporPresWater,C_SatVaporPresWater,C_SatVaporPresIce,C_MixingRatio,C_RelHumidity
70224,5280.0,130.76,25.0,39.909058,-105.116501,132.25,124.44,124.39,,,-3.15,0.17,0.021,119.3,5636.0,6.19,12.128,45.53,26.65,0.000488,0.007686,-7.612,835.46,22.438,24.39,313.231,0.195,5218.2144,9.5077,30.6639,38.6734,7.15975,31.77
70225,5269.2,132.89,24.7,39.90871,-105.115799,136.0,124.09,124.34,,,-0.97,0.08,0.039,119.39,5634.2,6.39,12.132,45.67,26.54,0.000471,0.007693,-8.791,835.57,22.861,24.24,313.058,0.197,5209.4287,9.6412,30.3828,38.2638,7.26043,31.48
70226,5250.8,133.52,24.5,39.90834,-105.115128,139.19,124.17,124.06,,,1.74,0.1,0.001,118.62,5631.9,6.43,12.142,45.88,26.78,0.000487,0.007701,-9.141,836.3,22.762,24.49,313.246,0.196,5188.1709,9.6663,30.8516,38.9488,7.2732,31.91
70227,5217.8,133.15,24.5,39.907959,-105.114418,142.25,124.86,124.26,,,2.55,0.08,0.049,120.27,5630.8,6.35,12.152,46.06,26.91,0.000509,0.007701,-7.958,837.4,22.582,24.63,313.281,0.195,5165.6313,9.612,31.1111,39.3248,7.22224,30.99
70228,5200.4,133.85,24.5,39.907558,-105.11367,144.94,126.08,125.02,,,3.02,-0.51,0.065,123.95,5630.4,6.19,12.159,46.16,27.54,0.000544,0.007719,-4.149,837.61,23.289,25.2,313.851,0.198,5150.7119,9.508,32.183,40.8968,7.14132,29.48
70229,5202.2,136.02,24.5,39.907185,-105.112915,147.06,127.49,124.83,,,3.26,-1.47,0.042,131.62,5631.3,6.01,12.163,46.34,27.63,0.000566,0.007733,2.541,837.25,24.936,25.12,313.808,0.205,5142.2656,9.3948,32.0258,40.6641,7.05845,28.81
70230,5226.8,141.68,24.5,39.90678,-105.11216,149.19,128.28,124.1,,,2.56,-0.66,-0.004,135.99,5634.2,5.84,12.165,46.8,27.86,0.00059,0.007725,11.948,836.43,28.09,25.03,313.805,0.218,5138.4087,9.2852,31.8643,40.4277,6.98207,28.86
70231,5264.6,147.5,24.5,39.906418,-105.111412,151.12,128.4,124.06,,,2.58,0.42,0.014,138.88,5638.4,5.68,12.168,47.65,27.74,0.000613,0.007704,21.001,835.42,29.875,24.73,313.6,0.225,5131.2061,9.1815,31.3095,39.6173,6.91168,30.19
70232,5291.4,152.24,24.5,39.905972,-105.110641,152.81,128.22,124.06,,,2.28,0.2,-0.028,141.88,5644.9,5.7,12.174,48.81,27.3,0.00065,0.007697,30.52,834.95,31.413,24.15,313.035,0.23,5118.8052,9.1949,30.2253,38.034,6.92584,30.61
70233,5294.6,156.25,24.5,39.905613,-105.109886,154.5,127.86,124.17,,,2.52,0.27,0.048,142.19,5650.8,5.76,12.182,50.13,27.61,0.000709,0.007687,39.401,834.59,32.404,24.36,313.29,0.234,5099.4189,9.2293,30.6038,38.5858,6.95506,29.06
70234,5303.0,158.5,24.5,39.905174,-105.109085,156.06,127.71,124.23,,,3.06,0.63,0.047,144.45,5656.0,5.85,12.194,51.43,27.38,0.000734,0.007682,49.609,834.28,32.673,24.1,313.057,0.235,5073.8062,9.2886,30.1413,37.9126,7.00288,31.76
70235,5313.2,160.5,24.5,39.904766,-105.108292,157.38,127.69,124.21,,,2.67,-0.3,-0.072,145.91,5661.6,5.95,12.207,52.51,27.18,0.000706,0.007687,60.883,834.1,33.935,23.78,312.735,0.239,5045.9443,9.3549,29.557,37.0642,7.05499,31.95
70236,5323.8,162.07,24.17,39.904373,-105.107521,158.75,127.84,124.19,,,3.11,-0.78,0.057,145.23,5668.9,6.0,12.223,53.31,27.13,0.000672,0.007683,70.041,833.75,34.176,23.71,312.696,0.24,5011.2935,9.3852,29.4288,36.8787,7.08105,31.97
70237,5331.6,162.25,24.0,39.903908,-105.106705,160.31,127.88,124.12,,,3.31,-0.75,0.001,145.03,5676.4,5.96,12.24,53.83,27.13,0.000688,0.007695,80.012,833.61,33.814,23.74,312.743,0.239,4973.7139,9.3619,29.4822,36.956,7.06446,31.62
70238,5336.2,161.98,24.0,39.903511,-105.105881,161.62,127.79,124.08,,,3.15,0.87,0.03,144.15,5684.2,5.89,12.259,54.1,27.11,0.000705,0.007682,89.977,833.34,33.948,23.7,312.734,0.24,4932.8389,9.3122,29.4179,36.863,7.02888,31.25
70239,5346.6,162.04,24.0,39.903065,-105.105087,162.94,127.6,124.12,,,2.82,-0.61,0.02,146.09,5691.9,5.76,12.275,54.2,27.39,0.000742,0.007709,100.411,833.08,33.847,23.99,313.062,0.239,4898.1582,9.23,29.9282,37.6029,6.96839,29.53
70240,5355.2,163.22,24.0,39.902657,-105.104233,164.31,127.4,124.19,,,2.24,-1.41,-0.01,147.49,5700.1,5.62,12.283,54.23,27.73,0.00069,0.007719,112.428,832.8,34.955,24.22,313.337,0.243,4880.6538,9.1385,30.3511,38.2179,6.90087,30.71
